Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank
X-ray repair cross complementing protein 4 isoform 1 [Homo sapiens]	Protein	XRCC4	35	2	0.953852456
electron-transfer-flavoprotein, beta polypeptide isoform 2 [Homo sapiens]	Protein	ETFB	7	1	1.144268006
hepatocyte growth factor isoform 1 preproprotein [Homo sapiens]	Protein	HGF	9	3	0.955533217
sucrase-isomaltase (alpha-glucosidase) [Homo sapiens]	Protein	SI	9	0	1.053962758
LSM11, U7 small nuclear RNA associated [Homo sapiens]	Protein	LSM11	14	1	0.50684336
histone stem-loop binding protein [Homo sapiens]	Protein	SLBP	17	0	0.836055772
zinc finger protein 473 [Homo sapiens]	Protein	ZNF473	13	1	0.810280023
hormone-sensitive lipase [Homo sapiens]	Protein	LIPE	7	1	1.112227279
non-metastatic cells 2, protein (NM23B) expressed in [Homo sapiens]	Protein	NME2	79	0	0.36226367
HUS1 checkpoint protein [Homo sapiens]	Protein	HUS1	27	2	1.149038871
ataxia telangiectasia and Rad3 related protein [Homo sapiens]	Protein	ATR	18	2	0.757293478
three prime repair exonuclease 1 isoform a [Homo sapiens]	Protein	TREX1	16	1	0.746878371
nibrin isoform 2 [Homo sapiens]	Protein	NBN	17	2	0.995066775
meiotic recombination 11 homolog A isoform 2 [Homo sapiens]	Protein	MRE11A	10	1	0.881546376
tumor protein p53 binding protein, 1 [Homo sapiens]	Protein	TP53BP1	13	0	0.832249818
mediator of DNA damage checkpoint 1 [Homo sapiens]	Protein	MDC1	15	1	1.085493188
RAD50 homolog isoform 1 [Homo sapiens]	Protein	RAD50	12	2	0.839585645
guanine nucleotide binding protein (G protein), gamma 7 [Homo sapiens]	Protein	GNG7	8	0	0.712391261
guanine nucleotide binding protein (G protein), gamma 4 [Homo sapiens]	Protein	GNG4	8	1	0.677293986
guanine nucleotide binding protein (G protein), gamma 10 [Homo sapiens]	Protein	GNG10	6	1	1.020474702
guanine nucleotide binding protein (G protein), gamma 2 [Homo sapiens]	Protein	GNG2	7	2	0.559420611
guanine nucleotide binding protein gamma 11 precursor [Homo sapiens]	Protein	GNG11	9	4	1.398231314
guanine nucleotide binding protein (G protein), gamma 3 [Homo sapiens]	Protein	GNG3	8	1	0.779164043
guanine nucleotide binding protein (G protein), gamma 5 [Homo sapiens]	Protein	GNG5	6	1	0.998445345
guanine nucleotide binding protein (G protein), gamma 13 [Homo sapiens]	Protein	GNG13	10	0	1.443342779
G-protein gamma-12 subunit [Homo sapiens]	Protein	GNG12	19	2	1.314928659
guanine nucleotide binding protein (G protein), gamma 8 [Homo sapiens]	Protein	GNG8	6	0	0.819695798
phosphofructokinase, platelet [Homo sapiens]	Protein	PFKP	25	1	0.952303772
type I adenylate cyclase activating polypeptide receptor precursor [Homo sapiens]	Protein	ADCYAP1R1	5	2	1.17494584
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	Protein	RELA	181	1	0.976454624
MYD88_MOUSE	Protein		1	0	0
Q58NA1_TOXGO	Protein		1	0	0
toll-like receptor 11 [Mus musculus]	Protein	Tlr11 [Mus musculus]	2	0	0
succinate dehydrogenase complex, subunit D precursor [Homo sapiens]	Protein	SDHD	6	2	1.155620168
fibroblast growth factor 10 precursor [Homo sapiens]	Protein	FGF10	9	0	0.52496172
fibroblast growth factor 16 [Homo sapiens]	Protein	FGF16	9	1	0.867024778
fibroblast growth factor 9 precursor [Homo sapiens]	Protein	FGF9	13	0	1.567154497
fibroblast growth factor 17 precursor [Homo sapiens]	Protein	FGF17	10	2	0.849051821
fibroblast growth factor 18 precursor [Homo sapiens]	Protein	FGF18	9	1	0.970372846
fibroblast growth factor 19 precursor [Homo sapiens]	Protein	FGF19	7	0	0.42005231
fibroblast growth factor 4 precursor [Homo sapiens]	Protein	FGF4	10	1	0.969960913
fibroblast growth factor 6 precursor [Homo sapiens]	Protein	FGF6	10	0	1.632041899
fibroblast growth factor 3 precursor [Homo sapiens]	Protein	FGF3	8	3	0.938307342
fibroblast growth factor 8 isoform B precursor [Homo sapiens]	Protein	FGF8	11	2	0.957974955
fibroblast growth factor 23 precursor [Homo sapiens]	Protein	FGF23	12	0	0.88349081
fibroblast growth factor 22 precursor [Homo sapiens]	Protein	FGF22	8	1	0.980905818
fibroblast growth factor 20 [Homo sapiens]	Protein	FGF20	10	0	1.077297552
ribonucleotide reductase M2 polypeptide [Homo sapiens]	Protein	RRM2	11	1	0.558656382
ribonucleotide reductase M2 B (TP53 inducible) [Homo sapiens]	Protein	RRM2B	10	0	0.951472892
eukaryotic translation elongation factor 1 gamma [Homo sapiens]	Protein	EEF1G	73	2	1.063840086
eukaryotic translation elongation factor 1 beta 2 [Homo sapiens]	Protein	EEF1B2	36	1	1.059142274
axin 1 isoform a [Homo sapiens]	Protein	AXIN1	22	0	0.757401234
nuclear factor kappa-B, subunit 1 [Homo sapiens]	Protein	NFKB1	79	1	0.852569548
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	Protein	NFKB2	148	1	0.879089963
polymerase (DNA directed), beta [Homo sapiens]	Protein	POLB	18	1	1.133959145
DNA ligase I [Homo sapiens]	Protein	LIG1	7	1	0.581610128
flap structure-specific endonuclease 1 [Homo sapiens]	Protein	FEN1	15	1	0.850906366
polymerase (DNA directed), delta 2, regulatory subunit [Homo sapiens]	Protein	POLD2	29	1	1.024404962
polymerase (DNA directed), delta 3 [Homo sapiens]	Protein	POLD3	23	1	0.828820705
polymerase (DNA-directed), delta 4 [Homo sapiens]	Protein	POLD4	21	1	0.970292644
son of sevenless homolog 1 [Homo sapiens]	Protein	SOS1	38	1	1.49048289
serine/threonine protein kinase 6 [Homo sapiens]	Protein	AURKA	43	2	1.061559402
polo-like kinase [Homo sapiens]	Protein	PLK1	69	2	0.601453675
aurora kinase B [Homo sapiens]	Protein	AURKB	29	1	0.687398577
succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Homo sapiens]	Protein	SDHB	8	1	1.153787822
thioesterase superfamily member 4 isoform a [Homo sapiens]	Protein	THEM4	3	0	0.680749517
thioesterase superfamily member 4 [Homo sapiens]	Protein	THEM4	3	0	0.680749517
tribbles 3 [Homo sapiens]	Protein	TRIB3	18	0	0.689883398
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein	RAF1	82	2	1.100549905
phosphoinositide-3-kinase, catalytic, alpha polypeptide [Homo sapiens]	Protein	PIK3CA	16	2	1.080806074
phosphoinositide-3-kinase, catalytic, beta polypeptide [Homo sapiens]	Protein	PIK3CB	11	1	1.065829486
H2A histone family, member X [Homo sapiens]	Protein	H2AFX	12	1	0.819471835
guanine nucleotide binding protein, alpha stimulating activity polypeptide 1 isoform a [Homo sapiens]	Protein	GNAS	24	3	1.037235533
polymerase (DNA-directed), alpha [Homo sapiens]	Protein	POLA	35	1	1.011874745
polymerase (DNA directed), alpha 2 (70kD subunit) [Homo sapiens]	Protein	POLA2	51	1	0.765817767
hydroxyacyl dehydrogenase, subunit B [Homo sapiens]	Protein	HADHB	22	2	1.082862877
apobec-1 complementation factor isoform 2 [Homo sapiens]	Protein	ACF	2	1	0.899029477
Ras homolog enriched in brain [Homo sapiens]	Protein	RHEB	17	2	1.164419928
raptor [Homo sapiens]	Protein	raptor	5	1	0.396171288
caspase 3 preproprotein [Homo sapiens]	Protein	CASP3	63	1	0.90157356
diablo isoform 1 precursor [Homo sapiens]	Protein	DIABLO	21	1	0.993559439
phosphorylase kinase, gamma 2 (testis) [Homo sapiens]	Protein	PHKG2	7	2	0.787966763
phosphorylase kinase, beta isoform a [Homo sapiens]	Protein	PHKB	10	3	1.149567356
phosphorylase kinase, gamma 1 (muscle) [Homo sapiens]	Protein	PHKG1	8	1	1.708664641
notch1 preproprotein [Homo sapiens]	Protein	NOTCH1	30	1	0.795963239
glucagon preproprotein [Homo sapiens]	Protein	GCG	7	1	1.254275591
tumor necrosis factor receptor superfamily, member 6 isoform 1 precursor [Homo sapiens]	Protein	FAS	33	1	0.988712427
glutamate-cysteine ligase, catalytic subunit [Homo sapiens]	Protein	GCLC	4	1	0.921172565
soluble mannose-binding lectin precursor [Homo sapiens]	Protein	MBL2	15	2	0.894931483
presenilin stabilization factor-like [Homo sapiens]	Protein	APH1B	8	1	0.895287491
nicastrin precursor [Homo sapiens]	Protein	NCSTN	15	1	0.956017879
presenilin enhancer 2 [Homo sapiens]	Protein	PSENEN	12	1	0.815480562
phosphoinositide-specific phospholipase C beta 1 isoform a [Homo sapiens]	Protein	PLCB1	9	0	1.372544278
isocitrate dehydrogenase 3, beta subunit isoform a precursor [Homo sapiens]	Protein	IDH3B	10	1	1.098991041
toll-like receptor 2 [Homo sapiens]	Protein	TLR2	25	0	0.6520253
Toll-interleukin 1 receptor domain-containing adaptor protein isoform a [Homo sapiens]	Protein	TIRAP	21	0	1.044813781
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein	MAP3K1	148	1	0.719512534
toll-like receptor 5 [Homo sapiens]	Protein	TLR5	7	1	0.534406464
toll-like receptor 10 precursor [Homo sapiens]	Protein	TLR10	5	0	0.31122386
toll-like receptor 9 isoform A precursor [Homo sapiens]	Protein	TLR9	9	0	0.882083384
toll-like receptor 8 isoform 1 [Homo sapiens]	Protein	TLR8	5	0	0.503139435
toll-like receptor 7 [Homo sapiens]	Protein	TLR7	5	1	0.646655315
MD-2 protein [Homo sapiens]	Protein	LY96	12	2	0.727868934
karyopherin beta 1 [Homo sapiens]	Protein	KPNB1	69	1	1.024123441
DnaJ (Hsp40) homolog, subfamily C, member 8 [Homo sapiens]	Protein	DNAJC8	110	1	0.935162421
DEAH (Asp-Glu-Ala-His) box polypeptide 9 isoform 1 [Homo sapiens]	Protein	DHX9	134	1	0.930081122
nuclear cap binding protein subunit 1, 80kDa [Homo sapiens]	Protein	NCBP1	135	1	1.031367004
RNA U, small nuclear RNA export adaptor (phosphorylation regulated) [Homo sapiens]	Protein	RNUXA	4	1	0.666069907
splicing factor 3B, 14 kDa subunit [Homo sapiens]	Protein	SF3B14	118	1	0.662654631
ras homolog D [Homo sapiens]	Protein	RHOD	13	0	0.956118051
Rho-related BTB domain containing 1 [Homo sapiens]	Protein	RHOBTB1	6	3	1.851402495
ras homolog gene family, member C [Homo sapiens]	Protein	RHOC	14	1	1.029894934
ras-related C3 botulinum toxin substrate 2 [Homo sapiens]	Protein	RAC2	18	1	0.66933203
ras-like protein TC10 [Homo sapiens]	Protein	RHOQ	23	1	1.318098391
ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3) [Homo sapiens]	Protein	RAC3	13	2	1.210094101
cell division cycle 42 isoform 1 [Homo sapiens]	Protein	CDC42	44	1	0.98346293
ras homolog gene family, member A [Homo sapiens]	Protein	RHOA	64	1	1.065032397
ras homolog gene family, member B [Homo sapiens]	Protein	RHOB	9	1	1.132708523
ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]	Protein	RAC1	79	1	1.070040024
ras homolog gene family, member G [Homo sapiens]	Protein	RHOG	18	2	0.939112556
ras homolog gene family, member H [Homo sapiens]	Protein	RHOH	12	1	0.383710782
ras homolog gene family, member V [Homo sapiens]	Protein	RHOV	6	0	0.51777212
ras homolog gene family, member T2 [Homo sapiens]	Protein	RHOT2	7	2	0.886049493
ras homolog gene family, member T1 isoform 3 [Homo sapiens]	Protein	RHOT1	6	1	1.233271391
Rho-related BTB domain containing 2 [Homo sapiens]	Protein	RHOBTB2	6	1	1.117046496
TC10-like Rho GTPase [Homo sapiens]	Protein	RHOJ	14	2	1.389758569
ras homolog gene family, member F [Homo sapiens]	Protein	RHOF	6	1	0.656809649
protein arginine methyltransferase 5 isoform b [Homo sapiens]	Protein	PRMT5	19	1	1.010586576
protein arginine methyltransferase 5 [Homo sapiens]	Protein	PRMT5	19	1	1.010586576
methylosome protein 50 [Homo sapiens]	Protein	WDR77	12	0	1.159424918
adrenocortical dysplasia homolog [Homo sapiens]	Protein	ACD	25	1	0.903901249
protection of telomeres 1 [Homo sapiens]	Protein	POT1	26	1	0.696685222
AMP-activated protein kinase beta 2 non-catalytic subunit [Homo sapiens]	Protein	PRKAB2	6	1	1.267835277
prolyl 4-hydroxylase, beta subunit [Homo sapiens]	Protein	P4HB	32	2	0.982280099
caspase 7 isoform alpha precursor [Homo sapiens]	Protein	CASP7	28	1	0.985753323
CD4 antigen precursor [Homo sapiens]	Protein	CD4	187	1	0.793300085
phosphorylase kinase, alpha 2 (liver) [Homo sapiens]	Protein	PHKA2	6	1	0.921242233
phosphorylase kinase, alpha 1 (muscle) [Homo sapiens]	Protein	PHKA1	8	2	2.18408704
telomeric repeat binding factor (NIMA-interacting) 1 [Homo sapiens]	Protein	TERF1	49	0	0.929539379
telomeric repeat binding factor 1 isoform 2 [Homo sapiens]	Protein	TERF1	49	0	0.929539379
telomeric repeat binding factor 2 [Homo sapiens]	Protein	TERF2	29	1	1.045533641
TERF1 (TRF1)-interacting nuclear factor 2 [Homo sapiens]	Protein	TINF2	25	0	0.910107394
TRF2-interacting telomeric RAP1 protein [Homo sapiens]	Protein	TERF2IP	26	1	1.085621235
guanine nucleotide-binding protein, beta-3 subunit [Homo sapiens]	Protein	GNB3	14	1	0.931651897
guanine nucleotide-binding protein, beta-1 subunit [Homo sapiens]	Protein	GNB1	25	3	0.901155758
guanine nucleotide-binding protein, beta-2 subunit [Homo sapiens]	Protein	GNB2	19	1	0.785502096
guanine nucleotide-binding protein, beta-4 subunit [Homo sapiens]	Protein	GNB4	17	1	0.598523083
protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha) [Homo sapiens]	Protein	PPP3CA	25	2	1.10500032
protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma) [Homo sapiens]	Protein	PPP3CC	6	2	1.224163562
Rho guanine nucleotide exchange factor 1 isoform 3 [Homo sapiens]	Protein	ARHGEF1	9	1	0.844267522
GPI7 protein [Homo sapiens]	Protein	PIGG	2	1	0.834345104
phosphatidylinositol glycan, class O isoform 2 [Homo sapiens]	Protein	PIGO	2	1	0.908242829
tumor necrosis factor receptor superfamily, member 10b isoform 1 precursor [Homo sapiens]	Protein	TNFRSF10B	10	1	1.010600721
fas ligand [Homo sapiens]	Protein	FASLG	30	2	0.777062444
receptor (TNFRSF)-interacting serine-threonine kinase 1 [Homo sapiens]	Protein	RIPK1	56	1	0.993155493
caspase 10 isoform a preproprotein [Homo sapiens]	Protein	CASP10	25	0	0.74476551
excision repair cross-complementing 1 isofrom 2 [Homo sapiens]	Protein	ERCC1	27	1	1.058251365
MAD1-like 1 protein [Homo sapiens]	Protein	MAD1L1	19	1	0.727491469
toll-like receptor 3 [Homo sapiens]	Protein	TLR3	10	0	0.896943292
tumor necrosis factor alpha [Homo sapiens]	Protein	TNF	14	1	0.64119642
glucokinase isoform 1 [Homo sapiens]	Protein	GCK	8	1	0.871756018
RAD21 homolog [Homo sapiens]	Protein	RAD21	14	1	1.02124479
structural maintenance of chromosomes 3 [Homo sapiens]	Protein	SMC3	22	0	0.957343678
ring-box 1 [Homo sapiens]	Protein	RBX1	45	0	1.063744432
FLIC_ECOLI	Protein		1	0	0
phosphoinositide-3-kinase, regulatory subunit 4, p150 [Homo sapiens]	Protein	PIK3R4	7	2	0.856211594
stromal antigen 2 [Homo sapiens]	Protein	STAG2	10	0	0.96901899
tuberous sclerosis 2 isoform 1 [Homo sapiens]	Protein	TSC2	16	0	1.029799315
glycosylphosphatidylinositol anchor attachment protein 1 [Homo sapiens]	Protein	GPAA1	12	1	1.001935822
phosphatidylinositol glycan class S [Homo sapiens]	Protein	PIGS	6	1	0.801466172
cell division cycle 91-like 1 protein [Homo sapiens]	Protein	CDC91L1	5	1	1.116144322
chromosome 8 open reading frame 45 [Homo sapiens]	Protein	CDC91L1	5	1	1.116144322
succinate-CoA ligase, GDP-forming, alpha subunit [Homo sapiens]	Protein	SUCLG1	9	2	1.089871313
dynein, light chain, LC8-type 2 [Homo sapiens]	Protein	DYNLL2	15	1	0.710657782
dynein light chain 2 [Homo sapiens]	Protein	DYNLL2	15	1	0.710657782
methylcrotonoyl-Coenzyme A carboxylase 2 (beta) [Homo sapiens]	Protein	MCCC2	4	2	1.101409087
notch4 preproprotein [Homo sapiens]	Protein	NOTCH4	4	3	1.228528318
MD-1, RP105-associated [Homo sapiens]	Protein	LY86	2	2	0.903887475
succinate dehydrogenase flavoprotein subunit [Homo sapiens]	Protein	HSSUCCDH	6	0	0
geminin [Homo sapiens]	Protein	GMNN	13	1	0.884102232
DNA replication factor [Homo sapiens]	Protein	CDT1	27	3	0.594093007
Notch homolog 3 [Homo sapiens]	Protein	NOTCH3	9	2	1.592594387
phosphoinositide-3-kinase, class 3 [Homo sapiens]	Protein	PIK3C3	8	1	1.013801683
barrier to autointegration factor 1 [Homo sapiens]	Protein	BANF1	176	1	1.107087211
PIG-M mannosyltransferase [Homo sapiens]	Protein	PIGM	2	1	0.487762524
MLX interacting protein-like [Homo sapiens]	Protein	MLXIPL	4	2	1.064113634
Williams Beuren syndrome chromosome region 14 isoform alpha [Homo sapiens]	Protein	MLXIPL	4	2	1.064113634
tRNA exportin [Homo sapiens]	Protein	XPOT	12	1	0.91862676
signal recognition particle receptor, beta subunit [Homo sapiens]	Protein	SRPRB	21	0	1.04733789
v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	Protein	CRK	51	1	1.167538755
enhancer of zeste 2 isoform a [Homo sapiens]	Protein	EZH2	24	1	0.72135161
transgelin 2 [Homo sapiens]	Protein	TAGLN2	15	1	0.856670697
glioma-amplified sequence-41 [Homo sapiens]	Protein	YEATS4	12	1	1.016125594
p30 DBC protein [Homo sapiens]	Protein	KIAA1967	26	1	1.474211373
hypothetical protein LOC79624 [Homo sapiens]	Protein	C6orf211	6	1	1.141529418
desmoplakin isoform II [Homo sapiens]	Protein	DSP	46	1	0.606697414
IQ motif containing GTPase activating protein 1 [Homo sapiens]	Protein	IQGAP1	18	2	0.914014955
prolactin-induced protein [Homo sapiens]	Protein	PIP	4	0	0.750022777
katanin p60 subunit A 1 [Homo sapiens]	Protein	KATNA1	7	0	0.987267962
PTK2 protein tyrosine kinase 2 isoform b [Homo sapiens]	Protein	PTK2	73	2	1.257336057
glutamate-rich WD repeat containing 1 [Homo sapiens]	Protein	GRWD1	13	1	0.994637043
myosin, heavy polypeptide 9, non-muscle [Homo sapiens]	Protein	MYH9	23	3	0.948715173
oxidative-stress responsive 1 [Homo sapiens]	Protein	OXSR1	8	2	1.109313434
p21-activated kinase 1 [Homo sapiens]	Protein	PAK1	148	1	1.090710425
connexin46.6 [Homo sapiens]	Protein	GJA12	2	1	1.288811098
farnesyltransferase, CAAX box, alpha isoform b [Homo sapiens]	Protein	FNTA	10	0	0.961167787
translocase of inner mitochondrial membrane 50 homolog [Homo sapiens]	Protein	TIMM50	27	0	1.225253316
type I hair keratin 7 [Homo sapiens]	Protein	KRTHA7	3	1	0.99677897
ubiquitin specific protease 15 [Homo sapiens]	Protein	USP15	10	3	1.182504702
protein-tyrosine kinase fyn isoform a [Homo sapiens]	Protein	FYN	18	4	0.851365096
Mob4B protein [Homo sapiens]	Protein	MOBK1B	17	2	1.104372856
AMP-activated protein kinase beta 1 non-catalytic subunit [Homo sapiens]	Protein	PRKAB1	161	2	0.738141255
histone deacetylase 2 [Homo sapiens]	Protein	HDAC2	62	2	1.046513771
spectrin, alpha, non-erythrocytic 1 (alpha-fodrin) [Homo sapiens]	Protein	SPTAN1	33	2	0.961113037
SCC-112 protein [Homo sapiens]	Protein	SCC-112	11	1	0.950018589
phosphoglycerate dehydrogenase [Homo sapiens]	Protein	PHGDH	7	0	0.756888494
interleukin-1 receptor-associated kinase 1 isoform 2 [Homo sapiens]	Protein	IRAK1	45	2	0.833996635
fracture callus 1 homolog [Homo sapiens]	Protein	FXC1	4	2	0.987596641
keratin 16 [Homo sapiens]	Protein	KRT16	5	1	0.824880618
nuclear transport factor 2 [Homo sapiens]	Protein	NUTF2	15	0	0.976126854
tubulin, beta 4 [Homo sapiens]	Protein	TUBB4	48	0	0.929305806
sirtuin 2 isoform 1 [Homo sapiens]	Protein	SIRT2	17	0	1.196184242
phosphatidylinositol 4-kinase, catalytic, alpha polypeptide isoform 1 [Homo sapiens]	Protein	PIK4CA	7	1	0.885309272
nucleosome assembly protein 1-like 1 [Homo sapiens]	Protein	NAP1L1	19	1	1.044249186
glutaminase C [Homo sapiens]	Protein	GLS	9	2	0.977775089
translocase of inner mitochondrial membrane 23 (yeast) homolog [Homo sapiens]	Protein	TIMM23	4	0	1.172182586
threonyl-tRNA synthetase [Homo sapiens]	Protein	TARS	14	0	0.948841292
eukaryotic translation elongation factor 1 alpha 2 [Homo sapiens]	Protein	EEF1A2	19	2	1.602647203
CUE domain containing 2 [Homo sapiens]	Protein	CUEDC2	4	1	1.09161345
myosin VI [Homo sapiens]	Protein	MYO6	14	1	0.982336059
protein inhibitor of activated STAT X isoform beta [Homo sapiens]	Protein	PIAS2	13	2	1.277689826
ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 isoform 2 [Homo sapiens]	Protein	ATP2A2	16	1	1.259981344
general transcription factor II, i isoform 4 [Homo sapiens]	Protein	GTF2I	19	2	1.03137724
keratin 15 [Homo sapiens]	Protein	KRT15	58	2	0.854289546
fatty acid synthase [Homo sapiens]	Protein	FASN	55	1	0.726423504
CDC37 homolog [Homo sapiens]	Protein	CDC37	38	2	1.077962055
GrpE-like 1, mitochondrial [Homo sapiens]	Protein	GRPEL1	5	2	1.021013795
adaptor-related protein complex 1, sigma 1 subunit isoform 1 [Homo sapiens]	Protein	AP1S1	10	2	0.851122781
